time,op,hi,lo,cl,10ma,25ma,75ma
2016/10/25 07:00:00,104.22999999999999,104.874,104.118,104.215,103.88294999999998,102.61196,102.69211333333332
2016/10/26 07:00:00,104.215,104.619,104.025,104.48349999999999,103.94835,102.7112,102.68492666666667
2016/10/27 07:00:00,104.48349999999999,105.349,104.299,105.2425,103.97214999999998,102.8731,102.68640666666667
2016/10/28 07:00:00,105.2425,105.531,104.457,104.7225,104.12965000000001,103.05108,102.68484000000001
2016/10/31 07:00:00,104.559,105.229,104.527,104.77449999999999,104.18505000000002,103.19939999999998,102.68276
2016/11/01 07:00:00,104.77449999999999,105.114,103.8,104.07,104.27330000000002,103.37801999999998,102.66486666666668
2016/11/02 07:00:00,104.07,104.167,103.021,103.33949999999999,104.29270000000001,103.52434,102.63694000000001
2016/11/03 07:00:00,103.33949999999999,103.443,102.564,102.971,104.28765000000001,103.62892,102.58537333333334
2016/11/04 07:00:00,102.971,103.355,102.832,103.11349999999999,104.1876,103.70376,102.54261333333334
2016/11/07 07:00:00,104.122,104.63,103.752,104.4965,104.1162,103.7746,102.50288000000002
2016/11/08 07:00:00,104.464,105.194,104.301,105.163,104.14285,103.88886000000002,102.485
2016/11/09 07:00:00,105.163,105.888,101.194,105.67099999999999,104.23764999999999,103.97926000000001,102.49067333333333
2016/11/10 07:00:00,105.67099999999999,106.947,104.97,106.831,104.35640000000001,104.06504,102.49565333333334
2016/11/11 07:00:00,106.831,106.935,106.037,106.6585,104.51525,104.1792,102.51628000000001
2016/11/14 07:00:00,106.885,108.542,106.737,108.43,104.70884999999998,104.32908000000002,102.57710666666668
2016/11/15 07:00:00,108.43,109.338,107.772,109.205,105.0744,104.52045999999999,102.65798666666669
2016/11/16 07:00:00,109.205,109.756,108.798,109.0765,105.58789999999999,104.74622,102.76841999999999
2016/11/17 07:00:00,109.0765,110.179,108.556,110.12,106.16159999999999,104.93946,102.87254000000001
2016/11/18 07:00:00,110.12,110.95,109.804,110.9015,106.8765,105.19756,102.99183333333335
2016/11/21 07:00:00,110.92750000000001,111.363,110.458,110.8215,107.65530000000001,105.46688,103.11323333333334
2016/11/22 07:00:00,110.8215,111.358,110.272,111.138,108.28780000000002,105.74405999999999,103.22528000000001
2016/11/23 07:00:00,111.138,112.974,110.856,112.507,108.8853,106.03453999999999,103.34902666666667
2016/11/24 07:00:00,112.507,113.533,112.4,113.332,109.56890000000001,106.39921999999999,103.49996
2016/11/25 07:00:00,113.332,113.899,112.557,113.2425,110.21900000000001,106.77363999999997,103.65201333333331
2016/11/28 07:00:00,112.804,112.972,111.361,111.944,110.8774,107.15023999999998,103.81113333333333
2016/11/29 07:00:00,111.944,113.336,111.622,112.38,111.2288,107.45879999999997,103.95347333333333
